country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","28-08-2025 19:00:00",26.1209,85.3647,PM2.5,40,72,48
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","28-08-2025 19:00:00",26.1209,85.3647,NO2,10,15,12
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","28-08-2025 19:00:00",26.1209,85.3647,SO2,5,10,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","28-08-2025 19:00:00",25.586562,85.043586,PM2.5,10,21,16
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","28-08-2025 19:00:00",25.586562,85.043586,CO,27,44,33
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","28-08-2025 19:00:00",25.592539,85.227158,PM10,27,55,39
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","28-08-2025 19:00:00",21.185571,81.343175,CO,47,52,48
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-08-2025 19:00:00",22.08815,82.13737,PM10,27,110,60
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-08-2025 19:00:00",22.118125,83.140608,SO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-08-2025 19:00:00",22.118125,83.140608,OZONE,5,21,11
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","28-08-2025 19:00:00",22.368195,82.746431,PM2.5,16,25,17
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","28-08-2025 19:00:00",30.751462,76.762879,PM10,27,81,51
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","28-08-2025 19:00:00",30.751462,76.762879,NO2,6,21,11
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","28-08-2025 19:00:00",30.719859,76.738637,CO,17,103,45
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","28-08-2025 19:00:00",21.194815,81.314770,PM2.5,7,43,18
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","28-08-2025 19:00:00",21.194815,81.314770,NO2,3,48,10
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","28-08-2025 19:00:00",26.63086,84.90051,OZONE,1,4,3
